TRADEDATE,BOARDID,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
2016-05-04,CNGD,USDRUB_TOM,USD000UTSTOM,66.45,64.63,66.72,66.35,24,3605158030.0,
2016-05-05,CETS,USDRUB_TOM,USD000UTSTOM,66.0,65.19,66.242,65.89,55002,254810313023.0,65.7609
2016-05-05,CNGD,USDRUB_TOM,USD000UTSTOM,66.15,65.22,66.529,65.22,33,3447461958.0,
2016-05-06,CETS,USDRUB_TOM,USD000UTSTOM,66.024,65.551,66.617,65.945,55702,235997862803.0,66.1181
2016-05-06,CNGD,USDRUB_TOM,USD000UTSTOM,65.89,65.58,66.47,65.58,26,10713608930.0,
2016-05-10,CETS,USDRUB_TOM,USD000UTSTOM,66.27,66.05,66.672,66.31,46027,198719813799.0,66.3496
2016-05-10,CNGD,USDRUB_TOM,USD000UTSTOM,65.945,65.945,66.51,66.32,25,7399744142.8,
2016-05-11,CETS,USDRUB_TOM,USD000UTSTOM,66.20100000000001,64.831,66.37899999999999,64.97800000000001,57920,244041401612.0,65.7459
2016-05-11,CNGD,USDRUB_TOM,USD000UTSTOM,66.31,65.7,66.31,65.8,18,2013024640.0,
2016-05-12,CETS,USDRUB_TOM,USD000UTSTOM,64.836,64.561,65.54,64.895,57221,253189431184.0,64.9605
2016-05-12,CNGD,USDRUB_TOM,USD000UTSTOM,64.97800000000001,64.64,65.113,65.06,26,3571625372.4,
2016-05-13,CETS,USDRUB_TOM,USD000UTSTOM,65.145,64.73100000000001,65.579,65.48,53699,229139277931.0,65.1957
2016-05-13,CNGD,USDRUB_TOM,USD000UTSTOM,64.895,64.7825,65.4,65.4,27,6053560060.0,
2016-05-16,CETS,USDRUB_TOM,USD000UTSTOM,64.832,64.605,65.168,64.9,48494,201990946568.0,64.9056
2016-05-16,CNGD,USDRUB_TOM,USD000UTSTOM,65.48,64.6,65.48,64.9,25,6919218120.0,
2016-05-17,CETS,USDRUB_TOM,USD000UTSTOM,64.55,64.366,65.074,64.72,53716,240597756333.0,64.7278
2016-05-17,CNGD,USDRUB_TOM,USD000UTSTOM,64.9,64.417,65.1,64.7,39,5417959746.0,
2016-05-18,CETS,USDRUB_TOM,USD000UTSTOM,65.058,64.837,66.093,65.999,60454,279779793527.0,65.2919
2016-05-18,CNGD,USDRUB_TOM,USD000UTSTOM,64.72,64.32,65.47,64.32,33,6981280700.0,
2016-05-19,CETS,USDRUB_TOM,USD000UTSTOM,66.032,65.984,67.33,66.78,66894,359224681414.0,66.6226
2016-05-19,CNGD,USDRUB_TOM,USD000UTSTOM,65.999,65.999,66.9,66.15,31,5321815227.0,
2016-05-20,CETS,USDRUB_TOM,USD000UTSTOM,66.55199999999999,66.258,66.98,66.798,49625,260395514326.0,66.6368
2016-05-20,CNGD,USDRUB_TOM,USD000UTSTOM,66.407,66.21,66.91,66.405,25,6719676700.0,
2016-05-23,CETS,USDRUB_TOM,USD000UTSTOM,66.976,66.744,67.237,66.808,39426,189488360277.0,67.0235
2016-05-23,CNGD,USDRUB_TOM,USD000UTSTOM,66.71,66.71,67.215,66.95,19,2799224794.4,
2016-05-24,CETS,USDRUB_TOM,USD000UTSTOM,67.15,66.1,67.15,66.184,39933,191717549158.0,66.7786
2016-05-24,CNGD,USDRUB_TOM,USD000UTSTOM,67.09,66.7,67.12,66.9,25,4216537128.0,
2016-05-25,CETS,USDRUB_TOM,USD000UTSTOM,65.96,65.31,66.025,65.508,55700,285873704442.0,65.7355
2016-05-25,CNGD,USDRUB_TOM,USD000UTSTOM,66.13,65.4,67.0,65.85,28,5203205556.0,
2016-05-26,CETS,USDRUB_TOM,USD000UTSTOM,64.884,64.883,65.888,65.801,46979,240218627276.0,65.3461
2016-05-26,CNGD,USDRUB_TOM,USD000UTSTOM,65.08,64.9,66.16,65.54,30,7329062710.0,
2016-05-27,CETS,USDRUB_TOM,USD000UTSTOM,65.789,65.753,66.42,66.14399999999999,41253,183929597520.0,66.0695
2016-05-27,CNGD,USDRUB_TOM,USD000UTSTOM,65.94,65.508,66.35,66.35,22,2204489240.0,
2016-05-30,CETS,USDRUB_TOM,USD000UTSTOM,66.2,65.5875,66.27,65.75,24153,114620722712.5,65.9904
2016-05-30,CNGD,USDRUB_TOM,USD000UTSTOM,66.251,65.78,66.251,66.16,25,3740440770.0,
2016-05-31,CETS,USDRUB_TOM,USD000UTSTOM,65.75,65.72,67.0,66.7,38123,194272677645.0,66.0724
2016-05-31,CETS,USDRUB_TOM,USD000UTSTOM,65.75,65.72,67.0,66.7,38123,194272677645.0,66.0724
2016-06-01,CETS,USDRUB_TOM,USD000UTSTOM,66.8,66.5125,67.3275,67.14,49469,293474010110.0,66.9142
2016-06-01,CNGD,USDRUB_TOM,USD000UTSTOM,66.52,66.52,67.24,66.55,32,9769524382.0,
2016-06-02,CETS,USDRUB_TOM,USD000UTSTOM,67.025,66.615,67.71,66.96,55039,282714214975.0,67.1439
2016-06-02,CNGD,USDRUB_TOM,USD000UTSTOM,67.0,66.5,67.57,67.56,35,5189575792.5,
2016-06-03,CETS,USDRUB_TOM,USD000UTSTOM,66.99,65.6,67.17,65.62,56410,288190261482.5,66.5006
2016-06-03,CNGD,USDRUB_TOM,USD000UTSTOM,66.85,66.0,67.15,66.0,39,8817380346.0,
2016-06-06,CETS,USDRUB_TOM,USD000UTSTOM,65.3,65.12,65.99,65.245,36499,188325126190.0,65.5462
2016-06-06,CNGD,USDRUB_TOM,USD000UTSTOM,65.62,65.22,65.95,65.46,24,2248960702.44,
2016-06-07,CETS,USDRUB_TOM,USD000UTSTOM,65.5725,64.5075,65.5725,64.6225,42578,229602784335.0,65.0292
